



output: txt
equal:  abs(1_leppt-2_leppt)<0.02
LF:     data/LF_cem_data_2jME.txt_JEToutput_test.txt data/LF_cem_data_3jME.txt_JEToutput.txt data/LF_cmup_data_2jME.txt_JEToutput_test.txt data/LF_cmup_data_3jME.txt_JEToutput.txt data/LF_cmx_data_2jME.txt_JEToutput_test.txt data/LF_cmx_data_3jME.txt_JEToutput.txt data/LF_phx_data_2jME.txt_JEToutput_test.txt data/LF_phx_data_3jME.txt_JEToutput.txt
ME:     data/ME_2jet.txt data/ME_2jetnewMuons.txt data/ME_3jet.txt data/ME_3jetnewMuons.txt
NN:     data/NN_2jet1tag.txt data/NN_2jet2tag.txt data/NN_3jet1tag.txt data/NN_3jet2tag.txt
ME loaded:    2249
NN loaded:    1980
NN used:      1980 (100.0%)
NN rematched: 0
LF: Found key but didn't find particle run: 240115, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 57.160782, lf: 0.002352
LF: Found key but didn't find particle run: 237850, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 29.324847, lf: 0.179812
LF: Found key but didn't find particle run: 237850, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 85.059094, lf: 0.019807
LF: Found key but didn't find particle run: 238234, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 54.958887, lf: 0.132756
LF: Found key but didn't find particle run: 238240, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 34.560879, lf: 0.158777
LF: Found key but didn't find particle run: 238920, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 44.588954, lf: 0.025012
LF: Found key but didn't find particle run: 239252, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 34.384677, lf: 0.011399
LF: Found key but didn't find particle run: 239451, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 65.544826, lf: 0.009207
LF: Found key but didn't find particle run: 239504, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 31.075592, lf: 0.074969
LF: Found key but didn't find particle run: 240037, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 51.057937, lf: 0.003291
LF: Found key but didn't find particle run: 238452, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 35.190226, lf: 0.000905
LF: Found key but didn't find particle run: 239207, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 85.022939, lf: 0.000168
LF: Found key but didn't find particle run: 240393, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 71.589860, lf: 0.008981
LF: Found key but didn't find particle run: 240445, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 65.889595, lf: 0.101602
LF: Found key but didn't find particle run: 240445, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 54.333181, lf: 0.034907
LF: Found key but didn't find particle run: 240652, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 43.078081, lf: 0.024036
LF: Found key but didn't find particle run: 240801, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 129.772354, lf: 0.000479
LF: Found key but didn't find particle run: 240872, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 52.614116, lf: 0.021560
LF: Found key but didn't find particle run: 240871, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 35.303573, lf: 0.008253
LF: Found key but didn't find particle run: 240893, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 30.972555, lf: 0.423642
LF: Found key but didn't find particle run: 241051, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 25.254876, lf: 0.167433
LF: Found key but didn't find particle run: 241181, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 34.279362, lf: 0.283180
LF: Found key but didn't find particle run: 242764, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 80.882300, lf: 0.003239
LF: Found key but didn't find particle run: 243352, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 51.189341, lf: 0.032443
LF: Found key but didn't find particle run: 242291, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 53.697302, lf: 0.092937
LF: Found key but didn't find particle run: 242791, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 71.315241, lf: 0.038641
LF: Found key but didn't find particle run: 242791, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 93.570843, lf: 0.001293
LF: Found key but didn't find particle run: 242791, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 61.665729, lf: 0.005849
LF: Found key but didn't find particle run: 243253, event: 0, det: 11, njets: 2, ntags: 2, totweight: 1, leppt: 58.711353, lf: 0.000000
LF: Found key but didn't find particle run: 243842, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 59.568649, lf: 0.019571
LF: Found key but didn't find particle run: 245102, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 63.130085, lf: 0.085495
LF: Found key but didn't find particle run: 245865, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 37.991952, lf: 0.030772
LF: Found key but didn't find particle run: 245783, event: 0, det: 11, njets: 2, ntags: 2, totweight: 1, leppt: 30.569313, lf: 0.000000
LF: Found key but didn't find particle run: 245785, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 129.078991, lf: 0.001730
LF: Found key but didn't find particle run: 242031, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 47.756449, lf: 0.157074
LF: Found key but didn't find particle run: 243655, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 29.760985, lf: 0.031567
LF: Found key but didn't find particle run: 243149, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 31.254060, lf: 0.003727
LF: Found key but didn't find particle run: 243237, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 49.709194, lf: 0.009043
LF: Found key but didn't find particle run: 244966, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 86.150711, lf: 0.008908
LF: Found key but didn't find particle run: 244966, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 72.501596, lf: 0.002588
LF: Found key but didn't find particle run: 244720, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 44.507096, lf: 0.955466
LF: Found key but didn't find particle run: 244676, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 51.442700, lf: 0.024093
LF: Found key but didn't find particle run: 242381, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 39.474236, lf: 0.105113
LF: Found key but didn't find particle run: 242646, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 31.541829, lf: 0.026788
LF: Found key but didn't find particle run: 243254, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 62.535737, lf: 0.025769
LF: Found key but didn't find particle run: 243919, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 110.798055, lf: 0.009198
LF: Found key but didn't find particle run: 245280, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 72.322979, lf: 0.018281
LF: Found key but didn't find particle run: 244674, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 26.982413, lf: 0.064689
LF: Found key but didn't find particle run: 242791, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 80.936864, lf: 0.022161
LF: Found key but didn't find particle run: 243252, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 69.234241, lf: 0.002459
LF: Found key but didn't find particle run: 242291, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 55.995671, lf: 0.009286
LF: Found key but didn't find particle run: 242860, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 36.378076, lf: 0.176456
LF: Found key but didn't find particle run: 244485, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 55.602499, lf: 0.068691
LF: Found key but didn't find particle run: 245448, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 164.092317, lf: 0.000346
LF: Found key but didn't find particle run: 246133, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 62.722955, lf: 0.148733
LF: Found key but didn't find particle run: 246229, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 45.748736, lf: 0.411435
LF: Found key but didn't find particle run: 228734, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 84.048954, lf: 0.109940
LF: Found key but didn't find particle run: 231155, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 48.026793, lf: 0.204514
LF: Found key but didn't find particle run: 231201, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 24.832442, lf: 0.991324
LF: Found key but didn't find particle run: 231334, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 52.745109, lf: 0.012457
LF: Found key but didn't find particle run: 231452, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 45.470945, lf: 0.947044
LF: Found key but didn't find particle run: 231907, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 43.162590, lf: 0.011253
LF: Found key but didn't find particle run: 229934, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 35.380442, lf: 0.011546
LF: Found key but didn't find particle run: 230486, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 41.099147, lf: 0.150955
LF: Found key but didn't find particle run: 229084, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 41.181685, lf: 0.001297
LF: Found key but didn't find particle run: 229672, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 129.658195, lf: 0.000955
LF: Found key but didn't find particle run: 232087, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 26.938037, lf: 0.003248
LF: Found key but didn't find particle run: 233031, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 21.041261, lf: 0.146973
LF: Found key but didn't find particle run: 229877, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 32.868151, lf: 0.039974
LF: Found key but didn't find particle run: 231022, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 26.828854, lf: 0.125258
LF: Found key but didn't find particle run: 232062, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 23.144039, lf: 0.008385
LF: Found key but didn't find particle run: 232282, event: 0, det: 11, njets: 2, ntags: 2, totweight: 1, leppt: 36.920090, lf: 0.000000
LF: Found key but didn't find particle run: 232496, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 48.927146, lf: 0.042615
LF: Found key but didn't find particle run: 229490, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 41.841125, lf: 0.010022
LF: Found key but didn't find particle run: 232444, event: 0, det: 11, njets: 2, ntags: 2, totweight: 1, leppt: 27.491358, lf: 0.000000
LF: Found key but didn't find particle run: 232028, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 40.190017, lf: 0.000679
LF: Found key but didn't find particle run: 232226, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 30.841467, lf: 0.000771
LF: Found key but didn't find particle run: 232812, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 49.131355, lf: 0.836225
LF: Found key but didn't find particle run: 229448, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 25.002275, lf: 0.003512
LF: Found key but didn't find particle run: 231156, event: 0, det: 11, njets: 2, ntags: 2, totweight: 1, leppt: 41.996062, lf: 0.000000
LF: Found key but didn't find particle run: 232444, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 75.827018, lf: 0.419118
LF: Found key but didn't find particle run: 231294, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 26.203488, lf: 0.090183
LF: Found key but didn't find particle run: 232496, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 33.083739, lf: 0.000170
LF: Found key but didn't find particle run: 224126, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 23.412439, lf: 0.066496
LF: Found key but didn't find particle run: 224161, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 60.230925, lf: 0.017752
LF: Found key but didn't find particle run: 224161, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 39.265040, lf: 0.135306
LF: Found key but didn't find particle run: 224366, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 32.967495, lf: 0.003623
LF: Found key but didn't find particle run: 224366, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 33.760993, lf: 0.004379
LF: Found key but didn't find particle run: 224521, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 45.664397, lf: 0.175690
LF: Found key but didn't find particle run: 224521, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 44.666832, lf: 0.599277
LF: Found key but didn't find particle run: 228400, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 30.569799, lf: 0.038930
LF: Found key but didn't find particle run: 228536, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 31.290419, lf: 0.002781
LF: Found key but didn't find particle run: 228575, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 80.899580, lf: 0.286172
LF: Found key but didn't find particle run: 222655, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 26.783535, lf: 0.000362
LF: Found key but didn't find particle run: 226365, event: 0, det: 11, njets: 2, ntags: 2, totweight: 1, leppt: 24.622199, lf: 0.000000
LF: Found key but didn't find particle run: 227708, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 28.527182, lf: 0.438611
LF: Found key but didn't find particle run: 227747, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 55.632858, lf: 0.992662
LF: Found key but didn't find particle run: 227747, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 41.690324, lf: 0.122158
LF: Found key but didn't find particle run: 227782, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 39.742449, lf: 0.109835
LF: Found key but didn't find particle run: 223309, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 72.453156, lf: 0.118995
LF: Found key but didn't find particle run: 227710, event: 0, det: 11, njets: 2, ntags: 2, totweight: 1, leppt: 22.880903, lf: 0.000000
LF: Found key but didn't find particle run: 222532, event: 0, det: 11, njets: 2, ntags: 2, totweight: 1, leppt: 65.556242, lf: 0.000000
LF: Found key but didn't find particle run: 222532, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 48.399653, lf: 0.002019
LF: Found key but didn't find particle run: 222532, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 46.526694, lf: 0.003121
LF: Found key but didn't find particle run: 222530, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 55.931078, lf: 0.003697
LF: Found key but didn't find particle run: 222722, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 56.308816, lf: 0.028864
LF: Found key but didn't find particle run: 222552, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 61.957877, lf: 0.113786
LF: Found key but didn't find particle run: 222576, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 21.740890, lf: 0.018528
LF: Found key but didn't find particle run: 222576, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 36.834743, lf: 0.000900
LF: Found key but didn't find particle run: 222835, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 85.675418, lf: 0.024962
LF: Found key but didn't find particle run: 222841, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 57.000911, lf: 0.034797
LF: Found key but didn't find particle run: 223120, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 44.012600, lf: 0.590537
LF: Found key but didn't find particle run: 223494, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 41.715515, lf: 0.004079
LF: Found key but didn't find particle run: 226196, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 27.169896, lf: 0.013394
LF: Found key but didn't find particle run: 226246, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 38.647753, lf: 0.356100
LF: Found key but didn't find particle run: 185634, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 31.493927, lf: 0.016922
LF: Found key but didn't find particle run: 219964, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 292.431786, lf: 0.000036
LF: Found key but didn't find particle run: 220183, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 115.392515, lf: 0.000326
LF: Found key but didn't find particle run: 220272, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 55.681607, lf: 0.110270
LF: Found key but didn't find particle run: 219108, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 38.035401, lf: 0.062763
LF: Found key but didn't find particle run: 219386, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 24.866055, lf: 0.481116
LF: Found key but didn't find particle run: 219385, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 28.417994, lf: 0.233824
